FlightID,Airline,OriginAirport,DestinationAirport,Date,DepartureDelay,ArrivalDelay,Dis
F001,Delta,JFK,LAX,2023-01-05,15,10,2475
F002,United,ORD,SFO,2023-01-05,45,50,1846
F003,Delta,ATL,MIA,2023-01-06,-5,0,595
F004,American,DFW,LAX,2023-01-06,60,55,1235
F005,Southwest,LAX,LAS,2023-01-07,10,5,236
F006,Delta,JFK,ORD,2023-01-07,25,20,740
F007,United,SFO,JFK,2023-01-08,75,80,2586
F008,American,ORD,LAX,2023-01-08,20,15,1744
F009,Southwest,LAS,PHX,2023-01-09,5,0,255
F010,Delta,LAX,JFK,2023-01-09,90,85,2475
F011,United,ATL,ORD,2023-01-10,30,25,606
F012,American,MIA,DFW,2023-01-10,15,10,1121
F013,Southwest,LAX,SFO,2023-01-11,40,35,337
F014,Delta,JFK,BOS,2023-01-11,-10,-5,187
F015,United,LAX,SEA,2023-01-12,60,55,954
F016,American,DFW,JFK,2023-01-12,20,25,1391
F017,Southwest,PHX,LAS,2023-01-13,0,0,255
F018,Delta,ATL,LAX,2023-01-13,35,30,1946
F019,United,SFO,ORD,2023-01-14,25,20,1846
F020,American,LAX,DFW,2023-01-14,50,45,1235
F021,Southwest,LAS,LAX,2023-01-15,15,10,236
F022,Delta,BOS,JFK,2023-01-15,5,0,187
F023,United,ORD,ATL,2023-01-16,10,15,606
F024,American,JFK,MIA,2023-01-16,65,60,1090
F025,Southwest,SFO,LAX,2023-01-17,35,30,337
F026,Delta,LAX,ATL,2023-01-17,55,50,1946
F027,United,JFK,SFO,2023-01-18,20,25,2586
F028,American,MIA,ORD,2023-01-18,15,10,1197
F029,Southwest,LAX,PHX,2023-01-19,5,0,370
F030,Delta,JFK,LAX,2023-01-19,80,75,2475
F031,United,ORD,SEA,2023-01-20,40,35,1721
F032,American,DFW,LAX,2023-01-20,25,30,1235
F033,Southwest,LAS,LAX,2023-01-21,10,5,236
F034,Delta,BOS,ATL,2023-01-21,0,-5,946
F035,United,SFO,JFK,2023-01-22,70,65,2586
F036,American,JFK,ORD,2023-01-22,30,25,740
F037,Southwest,LAX,LAS,2023-01-23,5,0,236
F038,Delta,ATL,MIA,2023-01-23,10,15,595
F039,United,ORD,LAX,2023-01-24,50,45,1744
F040,American,DFW,SEA,2023-01-24,20,15,1660
F041,Southwest,PHX,LAX,2023-01-25,15,10,370
F042,Delta,LAX,JFK,2023-01-25,100,95,2475
F043,United,ATL,SFO,2023-01-26,35,30,2139
F044,American,MIA,LAX,2023-01-26,25,20,2342
F045,Southwest,LAX,SFO,2023-01-27,30,25,337
F046,Delta,JFK,DFW,2023-01-27,45,50,1391
F047,United,SEA,ORD,2023-01-28,15,10,1721
F048,American,LAX,JFK,2023-01-28,85,80,2475
F049,Southwest,LAS,PHX,2023-01-29,0,-5,255
F050,Delta,ATL,LAX,2023-01-29,20,15,1946
